DMS_id,UniProt_ID,selection_type,spearman,n_variants
MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,OrganismalFitness,0.25144956858404677,4007
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,OrganismalFitness,0.7128069406163768,6976
ENV_HV1BR_Haddox_2016,ENV_HV1BR,OrganismalFitness,0.2895292219721383,12863
CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,OrganismalFitness,0.022210031421023565,1663
F7YBW8_MESOW_Ding_2023,F7YBW8_MESOW,OrganismalFitness,0.5624091316054335,7922
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,OrganismalFitness,-0.15728994121017612,7467
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,Stability,0.22790061316484084,2172
HSP82_YEAST_Flynn_2019,HSP82_YEAST,OrganismalFitness,0.20690727222936997,13294
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,Stability,0.38216032893533197,1301
RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,Expression,0.29081163129403903,26012
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,Activity,0.5431782265048191,1680
UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBE4B_HUMAN,Stability,0.34319126578791675,3622
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,OrganismalFitness,-0.15298097999963786,7467
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,OrganismalFitness,0.48988719079460874,2916
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,Binding,0.6270277665868421,6142
UBR5_HUMAN_Tsuboyama_2023_1I2T,UBR5_HUMAN,Stability,0.1135756831102995,1453
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,OrganismalFitness,0.06104674515669924,2350
SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN,OrganismalFitness,0.24614240460310374,10972
IF1_ECOLI_Kelsic_2016,IF1_ECOLI,OrganismalFitness,0.35463710975833335,1367
