DMS_id,UniProt_ID,selection_type,spearman,n_variants
MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,OrganismalFitness,0.07502212713840073,4007
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,OrganismalFitness,0.56497471612241,6976
ENV_HV1BR_Haddox_2016,ENV_HV1BR,OrganismalFitness,0.06553173886593942,12863
CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,OrganismalFitness,0.027460222748653108,1663
F7YBW8_MESOW_Ding_2023,F7YBW8_MESOW,OrganismalFitness,0.31181414240983857,7922
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,OrganismalFitness,-0.10506748930597205,7467
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,Stability,0.11372813646132852,2172
HSP82_YEAST_Flynn_2019,HSP82_YEAST,OrganismalFitness,0.10151634189856351,13294
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,Stability,0.18075781039117444,1301
RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,Expression,0.2586909710588947,26012
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,Activity,0.16819432178599988,1680
UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBE4B_HUMAN,Stability,-0.10215482494473203,3622
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,OrganismalFitness,-0.1029268475066334,7467
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,OrganismalFitness,0.07783377994550399,2916
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,Binding,0.32171192480225036,6142
UBR5_HUMAN_Tsuboyama_2023_1I2T,UBR5_HUMAN,Stability,0.1518625171449827,1453
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,OrganismalFitness,0.08140667003993511,2350
SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN,OrganismalFitness,0.192452419862947,10972
IF1_ECOLI_Kelsic_2016,IF1_ECOLI,OrganismalFitness,0.12031234099702753,1367
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,Stability,0.02876740930472968,2264
POLG_HCVJF_Qi_2014,POLG_HCVJF,OrganismalFitness,0.10399568620290231,1630
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Activity,-0.011898204225518927,922
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,OrganismalFitness,0.10633395738550755,1837
GCN4_YEAST_Staller_2018,GCN4_YEAST,Binding,0.1698007434565952,2638
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Stability,0.20280932351738595,3295
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Stability,-0.04574425381068846,1572
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,Stability,0.09241584644014648,1326
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,OrganismalFitness,0.13161486846734305,1813
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,Activity,0.1675324896971292,5689
P84126_THETH_Chan_2017,P84126_THETH,OrganismalFitness,-0.07669157435649016,1519
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,OrganismalFitness,0.17991963756361057,1195
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Activity,0.09067725306442515,1653
I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,OrganismalFitness,0.03607520828708853,9462
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,Stability,0.07767263432360842,2028
P53_HUMAN_Kotler_2018,P53_HUMAN,OrganismalFitness,0.05984553162821512,1048
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,OrganismalFitness,0.04303262090696377,2395
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,OrganismalFitness,-0.019395895718978286,16897
VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,Stability,-0.002189293484134821,1047
UBC9_HUMAN_Weile_2017,UBC9_HUMAN,OrganismalFitness,0.012344399908182186,2563
RCRO_LAMBD_Tsuboyama_2023_1ORC,RCRO_LAMBD,Stability,0.012430230292008104,2278
SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE,Stability,-0.13317766849864435,965
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Stability,-0.09029203965111063,1329
SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK,Stability,-0.07413409657740212,3201
NRAM_I33A0_Jiang_2016,NRAM_I33A0,OrganismalFitness,-0.10068735285268335,298
Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,Activity,0.18304056934183777,747
CBS_HUMAN_Sun_2020,CBS_HUMAN,OrganismalFitness,0.14975706405374073,7217
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,Stability,0.15115901670391194,1008
RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN,Stability,0.13776703361790932,1332
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Stability,0.00589452548858052,5586
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,Expression,0.030483336314161398,3798
REV_HV1H2_Fernandes_2016,REV_HV1H2,OrganismalFitness,0.03293324777219665,2147
SYUA_HUMAN_Newberry_2020,SYUA_HUMAN,OrganismalFitness,0.08867893030170014,2497
YAP1_HUMAN_Araya_2012,YAP1_HUMAN,Binding,0.19339662728192766,10075
NCAP_I34A1_Doud_2015,NCAP_I34A1,OrganismalFitness,0.06094115132872343,9462
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,Activity,0.0362330612814279,24515
TRPC_THEMA_Chan_2017,TRPC_THEMA,OrganismalFitness,0.08682902031359441,1519
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,OrganismalFitness,0.07729185062650311,2252
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,OrganismalFitness,0.10245047482794388,4996
VKOR1_HUMAN_Chiasson_2020_abundance,VKOR1_HUMAN,Expression,0.1322248247702157,2695
TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,Stability,0.07210188240726134,1479
SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE,Stability,0.08017352775268949,707
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,Stability,-0.15303063114566848,2069
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,Activity,0.1037363486726814,51714
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,Expression,0.149599015189871,2844
UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,Activity,0.12409239828208352,899
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,OrganismalFitness,0.09921879276950307,1777
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,Expression,0.12675314233974241,2339
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,Activity,-0.028111883850951907,1121
SRC_HUMAN_Nguyen_2022,SRC_HUMAN,OrganismalFitness,0.18834231995406286,3366
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,OrganismalFitness,0.1798421924815129,5004
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,Stability,0.1446304477602041,1429
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,Stability,0.16728264333997922,1287
SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,Binding,-0.003923416141852412,3802
R1AB_SARS2_Flynn_2022,R1AB_SARS2,OrganismalFitness,0.10607288917359073,5725
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,Binding,0.19046345110477608,24873
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,Stability,-0.08427344035137072,1134
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,Activity,-0.007089479734023109,1176
