UniProt_ID,selection_type,uniprot_spearman,n_assays
PITX2_HUMAN,Stability,0.20402427140057552,1
PKN1_HUMAN,Stability,0.18075781039117444,1
POLG_CXB3N,OrganismalFitness,-0.05161228433321628,1
POLG_DEN26,OrganismalFitness,-0.019395895718978286,1
POLG_HCVJF,OrganismalFitness,0.10399568620290231,1
POLG_PESV,Stability,-0.2040381502442491,1
PPARG_HUMAN,Activity,0.131535652490415,1
PPM1D_HUMAN,OrganismalFitness,0.21066804250573468,1
PR40A_HUMAN,Stability,0.20061022376542934,1
PRKN_HUMAN,Expression,0.15910054563764026,1
PSAE_PICP2,Stability,0.3101518232773681,1
PTEN_HUMAN,Activity,0.11902051528402033,1
PTEN_HUMAN,Expression,0.13832557176210136,1
Q2N0S5_9HIV1,OrganismalFitness,0.13648454255231116,1
Q53Z42_HUMAN,Binding,0.1731532112344619,1
Q53Z42_HUMAN,Expression,0.14863890392439932,1
Q59976_STRSQ,Activity,0.15062074248645066,1
Q6WV12_9MAXI,Activity,-0.008962222969962767,1
Q837P4_ENTFA,Activity,0.18591488500045503,1
Q837P5_ENTFA,Activity,0.18304056934183777,1
Q8WTC7_9CNID,Activity,-0.019454872444756636,1
R1AB_SARS2,OrganismalFitness,0.10607288917359073,1
RAD_ANTMA,Stability,0.07509848228195663,1
RAF1_HUMAN,OrganismalFitness,0.06973823544892623,1
RASH_HUMAN,Activity,0.25453920070082375,1
RASK_HUMAN,Binding,0.19046345110477608,1
RASK_HUMAN,Expression,0.2586909710588947,1
RBP1_HUMAN,Stability,0.13776703361790932,1
RCD1_ARATH,Stability,0.3186018710333472,1
RCRO_LAMBD,Stability,0.012430230292008104,1
RD23A_HUMAN,Stability,-0.03599462510816808,1
RDRP_I33A0,OrganismalFitness,0.08921581681989135,1
REV_HV1H2,OrganismalFitness,0.03293324777219665,1
RFAH_ECOLI,Stability,0.09241584644014648,1
RL20_AQUAE,Stability,0.4600735172229319,1
RL40A_YEAST,Activity,0.1722396542373948,1
RL40A_YEAST,OrganismalFitness,0.13081077109576267,2
RNC_ECOLI,Activity,0.2043710428040882,1
RPC1_BP434,Stability,0.2702871675728585,1
RPC1_LAMBD,Activity,0.011389959074624558,2
RS15_GEOSE,Stability,0.1344321886200145,1
S22A1_HUMAN,Activity,0.27797667794567205,1
S22A1_HUMAN,Expression,0.3085516543104329,1
SAV1_MOUSE,Stability,-0.13317766849864435,1
SBI_STAAM,Stability,0.109753558370108,1
SC6A4_HUMAN,Activity,0.23784420920076574,1
SCIN_STAAR,Stability,0.12494674048967169,1
SCN5A_HUMAN,OrganismalFitness,0.14281020210562023,1
SDA_BACSU,Stability,0.010099991976222241,1
SERC_HUMAN,OrganismalFitness,0.14714059128157014,1
SHOC2_HUMAN,OrganismalFitness,0.192452419862947,1
SOX30_HUMAN,Stability,0.04002981912979197,1
SPA_STAAU,Stability,-0.10188126557788556,1
SPG1_STRSG,Binding,0.06688614010209244,2
SPG2_STRSG,Stability,-0.10681431512347382,1
SPIKE_SARS2,Binding,-0.003923416141852412,1
SPIKE_SARS2,Expression,0.030483336314161398,1
SPTN1_CHICK,Stability,-0.07413409657740212,1
SQSTM_MOUSE,Stability,0.08017352775268949,1
SR43C_ARATH,Stability,-0.23027018671883487,1
SRBS1_HUMAN,Stability,0.2069503583848753,1
SRC_HUMAN,Activity,0.19747743451749106,2
SRC_HUMAN,OrganismalFitness,0.18834231995406286,1
SUMO1_HUMAN,OrganismalFitness,0.07532841134267279,1
SYUA_HUMAN,OrganismalFitness,0.08867893030170014,1
TADBP_HUMAN,OrganismalFitness,0.12321600168078779,1
TAT_HV1BR,OrganismalFitness,-0.08120954545773551,1
TCRG1_MOUSE,Stability,0.27943783887808227,1
THO1_YEAST,Stability,-0.18227222167687945,1
TNKS2_HUMAN,Stability,0.07210188240726134,1
